Month_Period,Month_Name,Month_Num,Spend,Revenue,Conversions,Impressions,Clicks,Total_Tickets,ROAS,CPA,CTR,Cost_Per_Ticket,Revenue_MoM_Growth,Spend_MoM_Growth,ROAS_MoM_Change,Tickets_MoM_Growth,Efficiency_Score,Revenue_per_Dollar,Conversion_Efficiency,Performance_vs_Avg,Optimization_Flag
2024-01,January,1,84170769.9,115144400.0,692856,3465597604,56511125,688941.0,1.3679855861696233,121.4837858083065,1.6306314655450693,122.17413377923509,,,,,1.1260643361314204,1.3679855861696233,8.231551176532603,7.758795425618215,Maintain
2024-02,February,2,67763725.78,89598600.0,535637,2761566131,45571304,530957.0,1.3222206861955694,126.51053937648072,1.6501978166823048,127.62563782001179,-22.185881380249494,-19.49256747858261,-0.04576489997405386,-22.931426638855868,1.0451466673940846,1.3222206861955694,7.9044797763774906,4.153808250434299,Maintain
2024-03,March,3,67235050.62,83411000.0,488816,2719823670,46076569,484229.0,1.2405880449383975,137.54674687407942,1.694101331208725,138.84969842780998,-6.90591147629539,-0.7801742804349088,-0.08163264125717196,-8.80071267541439,0.9019392120368536,1.2405880449383975,7.270255551121648,-2.276548310496407,Maintain
2024-04,April,4,84426802.21,101345200.0,583671,3481347910,56806441,579727.0,1.200391313506318,144.64793044369173,1.6317369728209667,145.63199956186273,21.501001067005543,25.569626900654207,-0.04019673143207947,19.721660619252468,0.8298710599068018,1.200391313506318,6.913337763856069,-5.442920385582639,Maintain
2024-05,May,5,66917869.9,94828500.0,574204,2810814500,45303918,569445.0,1.4170878442740151,116.54023639682065,1.6117718903186247,117.51419346907954,-6.430200936995534,-20.73859467808451,0.21669653076769713,-1.7735934327709368,1.2159644497792308,1.4170878442740151,8.58072740298029,11.626672572498475,Scale Up
2024-06,June,6,66356289.28,78582800.0,434274,2781018081,45613502,428586.99,1.1842554918706871,152.79820868852383,1.6401727954101712,154.82571993144262,-17.131664003965053,-0.8392087507256396,-0.232832352403328,-24.736016647788638,0.7750454027146149,1.1842554918706871,6.544579341492677,-6.713969379254281,Maintain
2024-07,July,7,83999069.04,97829600.0,571595,3436587935,57416593,566493.0,1.1646510028987815,146.95557001023454,1.6707441824851776,148.2790944283513,24.492382556997217,26.587954135822358,-0.019604488971905587,32.17690065673715,0.7925191286166771,1.1646510028987815,6.804777797332597,-8.258251817538254,Maintain
2024-08,August,8,67098147.79,85641500.0,494938,2768998232,45409928,491088.0,1.276361610875399,135.56879405097203,1.639940664288586,136.63161753087022,-12.458499268115176,-20.12036733639495,0.11171060797661747,-13.310844088099937,0.9414862910084634,1.276361610875399,7.3763288004466085,0.541402706256644,Maintain
2024-09,September,9,83974069.29,101467200.0,589733,3492822865,56387272,583790.0,1.2083158629551272,142.39337003355757,1.6143753685602378,143.84293888213227,18.47900842465393,25.151098884006927,-0.06804574792027185,18.87686117355749,0.8485759292517381,1.2083158629551272,7.022798882871666,-4.818688733196986,Maintain
2024-10,October,10,67528777.42,78761600.0,467025,2724882287,45488898,462900.0,1.1663412697395166,144.59349589422408,1.6693894711349782,145.88199917908835,-22.37728053991832,-19.58377390668905,-0.04197459321561059,-20.70778875965673,0.8066346708933173,1.1663412697395166,6.915940401161197,-8.125106322039677,Maintain
2024-11,November,11,66136298.04,86138400.0,501001,2787203100,45496011,496412.0,1.3024375804630386,132.00831543250413,1.632317752516851,133.2286448353384,9.365985454840931,-2.0620532952038806,0.13609631072352202,7.239576582415208,0.9866329830782327,1.3024375804630386,7.575280365662269,2.595455834248228,Maintain
2024-12,December,12,66104069.42,91436900.0,541111,2760983128,45708603,536154.0,1.383226491232255,122.16360306850166,1.6555190988476045,123.29306397042642,6.151147455722428,-0.048730607782887514,0.08078891076921635,8.00584997945255,1.1322738168230257,1.383226491232255,8.18574415686858,8.959350159052203,Maintain
